,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,250.29,92,100,11.47,RU,1674431121
1,mutoko,-17.397,32.2268,290.83,88,100,1.02,ZW,1674431121
2,zhaotong,27.3167,103.7167,271.66,80,95,3.11,CN,1674431122
3,barrow,71.2906,-156.7887,252.16,84,100,5.66,US,1674431122
4,hilo,19.7297,-155.09,300.0,74,40,5.14,US,1674431067
5,port elizabeth,-33.918,25.5701,294.87,92,100,1.03,ZA,1674431658
6,rio cuarto,-33.1307,-64.3499,299.02,57,40,2.57,AR,1674431658
7,saskylakh,71.9167,114.0833,239.79,87,100,1.03,RU,1674431073
8,puerto ayora,-0.7393,-90.3518,298.46,93,69,2.24,EC,1674431084
9,tuatapere,-46.1333,167.6833,288.04,52,30,3.56,NZ,1674431658
10,jamestown,42.097,-79.2353,273.16,72,100,2.57,US,1674431028
11,puro,12.4841,123.3827,297.98,87,100,4.98,PH,1674431659
12,lagoa,39.05,-27.9833,288.18,81,53,8.93,PT,1674431091
13,atambua,-9.1061,124.8925,297.71,79,100,0.73,ID,1674431659
14,cherskiy,68.75,161.3,237.69,95,100,1.25,RU,1674431477
15,thayetmyo,19.3167,95.1833,288.7,56,7,2.04,MM,1674431659
16,dryden,49.7833,-92.7503,266.31,79,0,3.09,CA,1674431660
17,aklavik,68.2191,-135.0107,251.44,92,97,5.19,CA,1674431085
18,provideniya,64.3833,-173.3,253.21,71,75,8.0,RU,1674431099
19,gardenstown,57.671,-2.336,277.11,86,100,2.83,GB,1674431660
20,busselton,-33.65,115.3333,298.26,42,0,3.33,AU,1674431079
21,farah,32.5,62.5,271.77,63,0,1.2,AF,1674431660
22,atuona,-9.8,-139.0333,299.23,77,87,8.6,PF,1674431096
23,mana,5.6592,-53.7767,297.78,85,99,5.48,GF,1674431661
24,bredasdorp,-34.5322,20.0403,291.87,86,21,2.8,ZA,1674431075
25,kalga,50.9251,118.898,236.04,97,96,1.81,RU,1674431661
26,clyde river,70.4692,-68.5914,241.28,68,100,11.83,CA,1674431093
27,lebu,-37.6167,-73.65,289.06,87,1,5.41,CL,1674431098
28,ushuaia,-54.8,-68.3,285.96,47,0,3.09,AR,1674431071
29,lorengau,-2.0226,147.2712,302.2,74,92,4.64,PG,1674431516
30,grand gaube,-20.0064,57.6608,298.36,81,100,3.65,MU,1674431092
31,kodiak,57.79,-152.4072,275.88,93,100,7.2,US,1674431105
32,uchiza,-8.4592,-76.4633,294.68,95,58,1.0,PE,1674431662
33,georgiyevka,43.0369,74.7114,254.17,84,4,2.0,KZ,1674431662
34,quatre cocos,-20.2078,57.7625,298.2,81,100,2.67,MU,1674431662
35,vaini,-21.2,-175.2,303.24,74,20,1.03,TO,1674431071
36,carutapera,-1.195,-46.02,297.27,93,34,3.34,BR,1674431596
37,diego de almagro,-26.3667,-70.05,294.68,38,0,2.52,CL,1674431662
38,rikitea,-23.1203,-134.9692,299.64,75,2,7.34,PF,1674431071
39,severnyy,50.677,36.5532,268.17,86,75,3.0,RU,1674431663
40,kruisfontein,-34.0033,24.7314,293.64,96,38,1.49,ZA,1674431093
41,dawei,14.0833,98.2,290.13,37,24,2.06,MM,1674431663
42,castro,-24.7911,-50.0119,291.46,95,80,1.54,BR,1674431096
