City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,298.18,80,0,6.64,BR,1676241085
1,punta arenas,-53.15,-70.9167,285.21,50,20,10.8,CL,1676241086
2,ghanzi,-21.5667,21.7833,296.39,36,90,3.1,BW,1676241086
3,dakar,14.6937,-17.4441,294.64,88,97,3.09,SN,1676240940
4,airai,-8.9266,125.4092,289.96,91,98,1.73,TL,1676241087
5,tortoli,39.9256,9.6572,280.05,81,0,7.2,IT,1676240791
6,nanortalik,60.1432,-45.2371,266.23,66,100,4.5,GL,1676241087
7,kholtoson,50.2981,103.3097,250.84,94,7,1.72,RU,1676241088
8,yabrud,33.9674,36.6574,271.65,83,45,1.35,SY,1676241088
9,bredasdorp,-34.5322,20.0403,296.91,57,100,2.17,ZA,1676241089
10,mataura,-46.1927,168.8643,292.3,50,65,0.52,NZ,1676241089
11,progreso,21.2833,-89.6667,297.21,55,15,4.13,MX,1676241089
12,ushuaia,-54.8,-68.3,282.96,62,75,5.14,AR,1676241090
13,arraial do cabo,-22.9661,-42.0278,299.07,83,75,3.6,BR,1676241090
14,khani,41.9563,42.9566,270.91,69,99,1.93,GE,1676241091
15,novovorontsovka,47.5004,33.9175,269.93,77,47,7.5,UA,1676241091
16,mar del plata,-38.0023,-57.5575,295.16,88,100,7.72,AR,1676241091
17,cabo san lucas,22.8909,-109.9124,300.16,25,100,4.63,MX,1676240816
18,karratha,-20.7377,116.8463,303.52,63,64,2.65,AU,1676241092
19,ribeira grande,38.5167,-28.7,289.14,77,100,11.18,PT,1676241092
20,auki,-8.7676,160.7034,302.6,68,63,2.73,SB,1676241093
21,bluff,-46.6,168.3333,292.48,76,76,0.77,NZ,1676241093
22,milkovo,54.7167,158.6167,252.1,95,41,0.94,RU,1676241094
23,east london,-33.0153,27.9116,297.11,85,80,5.47,ZA,1676241094
24,zaqatala,41.6336,46.6433,272.41,69,40,5.14,AZ,1676241094
25,onega,63.9061,38.1404,270.1,96,100,5.31,RU,1676241095
26,nikolskoye,59.7035,30.7861,275.09,93,100,5.54,RU,1676241095
27,albany,42.6001,-73.9662,278.51,50,100,0.64,US,1676240782
28,vostok,46.4856,135.8833,255.29,97,100,1.58,RU,1676241095
29,port elizabeth,-33.918,25.5701,295.98,88,100,5.14,ZA,1676241096
30,mahebourg,-20.4081,57.7,299.31,73,40,3.09,MU,1676241096
31,lebu,-37.6167,-73.65,290.6,79,34,3.22,CL,1676241096
32,kodiak,57.79,-152.4072,265.88,58,40,9.77,US,1676241096
33,ossora,59.2353,163.0719,261.5,94,100,5.16,RU,1676241097
34,busselton,-33.65,115.3333,289.45,67,0,4.97,AU,1676241097
35,rocha,-34.4833,-54.3333,301.78,44,7,7.52,UY,1676241097
36,port lincoln,-34.7333,135.8667,290.09,63,17,5.62,AU,1676241030
37,yellowknife,62.456,-114.3525,256.44,85,75,0.0,CA,1676241022
38,cape town,-33.9258,18.4232,294.21,85,0,6.26,ZA,1676240985
39,agadir,30.4202,-9.5982,289.4,37,100,4.43,MA,1676240964
40,vaini,-21.2,-175.2,303.24,74,75,2.57,TO,1676241098
41,marawi,7.9986,124.2928,293.89,92,100,0.48,PH,1676241098
42,saint george,37.1041,-113.5841,290.61,24,0,2.24,US,1676240879
43,castro,-24.7911,-50.0119,292.0,92,67,1.94,BR,1676241098
44,altamira,-3.2033,-52.2064,297.1,92,96,1.26,BR,1676241099
45,florianopolis,-27.6146,-48.5012,298.72,76,75,4.12,BR,1676241099
46,srednekolymsk,67.45,153.6833,233.97,100,100,0.54,RU,1676241099
47,ennis,52.8436,-8.9864,282.11,76,75,5.66,IE,1676241100
48,sao filipe,14.8961,-24.4956,294.84,78,100,2.73,CV,1676241100
49,oistins,13.0667,-59.5333,298.2,69,20,9.26,BB,1676241032
50,ayan,56.45,138.1667,248.2,88,74,1.92,RU,1676241100
51,chuy,-33.6971,-53.4616,298.29,64,0,7.36,UY,1676241101
52,prainha,-1.8,-53.48,300.49,70,99,1.24,BR,1676241101
53,clyde river,70.4692,-68.5914,235.28,67,0,1.54,CA,1676241101
54,port blair,11.6667,92.75,296.17,88,68,0.51,IN,1676241101
55,kapaa,22.0752,-159.319,297.3,77,100,9.26,US,1676241102
56,new norfolk,-42.7826,147.0587,289.66,57,33,0.89,AU,1676241102
57,bengkulu,-3.8004,102.2655,296.82,82,95,1.83,ID,1676241102
58,hilo,19.7297,-155.09,295.53,94,100,5.66,US,1676240901
59,rikitea,-23.1203,-134.9692,299.33,66,8,1.94,PF,1676241103
60,vardo,70.3705,31.1107,273.14,86,0,11.32,NO,1676241103
61,khatanga,71.9667,102.5,258.86,96,100,2.01,RU,1676241103
62,sorong,-0.8833,131.25,300.35,81,100,3.14,ID,1676241104
63,chokurdakh,70.6333,147.9167,237.04,98,100,0.9,RU,1676241104
64,upernavik,72.7868,-56.1549,247.48,94,100,3.22,GL,1676241104
