City,Country,Lat,Lng,Humidity,Hotel Name
cidreira,BR,-30.1811,-50.2056,80,Hotel Castelo
ghanzi,BW,-21.5667,21.7833,36,Ghanzi farmhouse
dakar,SN,14.6937,-17.4441,88,翁记小吃
airai,TL,-8.9266,125.4092,91,No hotel found
bredasdorp,ZA,-34.5322,20.0403,57,Victoria Hotel
mataura,NZ,-46.1927,168.8643,50,No hotel found
progreso,MX,21.2833,-89.6667,55,Centro Vacacional Obrero CTM
arraial do cabo,BR,-22.9661,-42.0278,83,No hotel found
mar del plata,AR,-38.0023,-57.5575,88,Nuevo Ostende
cabo san lucas,MX,22.8909,-109.9124,25,Comfort Rooms
karratha,AU,-20.7377,116.8463,63,Karratha International Hotel
ribeira grande,PT,38.5167,-28.7,77,Hospedaria JSF - 3 Estrelas
auki,SB,-8.7676,160.7034,68,No hotel found
bluff,NZ,-46.6,168.3333,76,No hotel found
east london,ZA,-33.0153,27.9116,85,No hotel found
port elizabeth,ZA,-33.918,25.5701,88,Waterford Hotel
mahebourg,MU,-20.4081,57.7,73,Grand Bel Air
lebu,CL,-37.6167,-73.65,79,No hotel found
busselton,AU,-33.65,115.3333,67,Broadwater Beach Resort
rocha,UY,-34.4833,-54.3333,44,Hotel Municipal
port lincoln,AU,-34.7333,135.8667,63,Boston Hotel
cape town,ZA,-33.9258,18.4232,85,Townhouse Hotel
agadir,MA,30.4202,-9.5982,37,Atlantic
vaini,TO,-21.2,-175.2,74,Keleti International Resort
marawi,PH,7.9986,124.2928,92,Marawi Resort Hotel
saint george,US,37.1041,-113.5841,24,"The Advenire, an Autograph Collection Hotel"
castro,BR,-24.7911,-50.0119,92,Hotel Central Palace
altamira,BR,-3.2033,-52.2064,92,Hotel Vale do Xingu
florianopolis,BR,-27.6146,-48.5012,76,Pousada Caminho da Lagoa
sao filipe,CV,14.8961,-24.4956,78,Bela Vista
oistins,BB,13.0667,-59.5333,69,The Abidah By Accra
chuy,UY,-33.6971,-53.4616,64,Alerces
prainha,BR,-1.8,-53.48,70,No hotel found
port blair,IN,11.6667,92.75,88,Andaman Ocean Breeze
kapaa,US,22.0752,-159.319,77,Pono Kai Resort
new norfolk,AU,-42.7826,147.0587,57,Woodbridge on the Derwent
bengkulu,ID,-3.8004,102.2655,82,Dena Hotel
hilo,US,19.7297,-155.09,94,Dolphin Bay Hotel
rikitea,PF,-23.1203,-134.9692,66,Chez Bianca & Benoit
sorong,ID,-0.8833,131.25,81,Hotel Membramo Marina
butaritari,KI,3.0707,172.7902,84,No hotel found
daru,PG,-9.0763,143.2092,70,Kuki
port alfred,ZA,-33.5906,26.891,96,No hotel found
port-gentil,GA,-0.7193,8.7815,89,Tara-Mé
hobart,AU,-42.8794,147.3294,60,Vibe Hotel Hobart
gobabis,,-22.45,18.9667,24,Kalahari Convention Centre Hotel
victoria,HK,22.2855,114.1577,92,四季酒店 Four Seasons Hotel
the valley,AI,18.217,-63.0578,73,CeBlue
souillac,MU,-20.5167,57.5167,73,Hotel SkylineInn
padang,ID,-0.9492,100.3543,83,losmen Surya
port pirie,AU,-33.1833,138.0167,41,Ellen Hotel
carnarvon,AU,-24.8667,113.6333,66,No hotel found
snyder,US,32.7179,-100.9176,10,Days Inn
namibe,AO,-15.1961,12.1522,77,Hotel Chik Chik Namibe
poum,NC,-20.2333,164.0167,63,No hotel found
saldanha,ZA,-33.0117,17.9442,94,Hoedjesbaai
hermanus,ZA,-34.4187,19.2345,82,Aloe guest house
bubaque,GW,11.2833,-15.8333,78,Chez Julio
vila franca do campo,PT,37.7167,-25.4333,88,Vinha d'Areia Beach Hotel
geraldton,AU,-28.7667,114.6,88,Ocean Centre Hotel
guarapari,BR,-20.6667,-40.4975,84,Osmar Hotel
georgetown,MY,5.4112,100.3354,93,Page 63 hostel
yeppoon,AU,-23.1333,150.7333,60,Blossom's on Seaspray
atar,MR,20.5169,-13.0499,34,فندق سكليل
ancud,CL,-41.8697,-73.8203,66,Cabañas
puerto ayora,EC,-0.7393,-90.3518,88,Hostal La Mirada De Solitario George
itoman,JP,26.1247,127.6694,94,No hotel found
kahului,US,20.8947,-156.47,74,Maui Seaside Hotel
pangkalanbuun,ID,-2.6833,111.6167,97,Hotel Tiara
mount isa,AU,-20.7333,139.5,30,Ibis Styles
muli,MV,2.9167,73.5667,65,Mulaku
buraydah,SA,26.326,43.975,34,دنا للوحدات السكنية
porto novo,BJ,6.4965,2.6036,86,Hôtel 6500 CFA
salalah,OM,17.0151,54.0924,60,Muscat International Hotel
sibolga,ID,1.7427,98.7792,87,Hotel Prima Indah
dubbo,AU,-32.25,148.6167,64,Blue Gum Motel
tautira,PF,-17.7333,-149.15,78,No hotel found
inhambane,MZ,-23.865,35.3833,88,Hotel de Inhambane
iaciara,BR,-14.0958,-46.6317,55,No hotel found
tres passos,BR,-27.4556,-53.9319,35,Imperial
saint-philippe,RE,-21.3585,55.7679,81,Le Baril
gwadar,PK,25.1216,62.3254,56,Sadaf Resorts
coruripe,BR,-10.1256,-36.1756,74,No hotel found
neiafu,TO,-18.65,-173.9833,83,Port Wine Guest House
bumba,CD,2.1833,22.4667,40,No hotel found
bathsheba,BB,13.2167,-59.5167,69,Atlantis Hotel
kirakira,SB,-10.4544,161.9205,72,No hotel found
vao,NC,-22.6667,167.4833,63,Nataiwatch
namatanai,PG,-3.6667,152.4333,83,Namatanai Hotel
pontianak,ID,-0.0333,109.3333,100,Golden Tulip Hotel
leticia,CO,-4.2153,-69.9406,100,Waira Suites
sinnamary,GF,5.3833,-52.95,90,Hôtel du fleuve
makakilo city,US,21.3469,-158.0858,58,Embassy Suites by Hilton Oahu Kapolei
berea,US,41.3662,-81.8543,39,Courtyard by Marriott Cleveland Airport South
samarai,PG,-10.6167,150.6667,75,No hotel found
valparaiso,CL,-33.0393,-71.6273,60,Ibis Hotel
bolobo,CD,-2.1667,16.2333,85,No hotel found
port augusta,AU,-32.5,137.7667,46,Hotel Commonwealth
